task,html,github,path,script
Wildcam Gorongosa (Zooniverse),"<h2>Wildcam Gorongosa (Zooniverse)</h2><br><h2>1. Set-Up</h2><p>Participants view a series of pictures of animals taken by motion-detecting cameras in Gorongosa National Park in Mozambique. Participants view and interact with the pictures through an online interface on the Wildcam Gorongosa site.</p><br><h2>2. Objective / Goal</h2><p>The goal is to classify as many pictures as correctly as possible according to five criteria within a fixed amount of time. For each picture, participants are tasked with:</p><p>(1) detecting the presence of the animal(s), (2) identifying the species of the animal(s), (3) counting how many animals there are, (4) identifying the behaviors exhibited &mdash; specifically, identifying whether the animal(s) is (a) standing, (b) resting, &copy; moving, (d) eating, or (e) interacting (multiple behaviors may be selected), and (5) recognizing whether any young are present. Each picture has a ""ground truth"" classification done by scientists, which is used to calculate correctness.</p><p>Participants are evaluated based on the total number of pictures they classified out of all possible pictures in the task, as well as the number of correct classifications out of all the classifications they managed to do. This means that both quantity and quality matter. In other words, participants maximize their score by classifying as many pictures as correctly as they can.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8591c25ff47c9a98dc22c31136d504705d31adf2,tasks/summaries/Wildcam Gorongosa (Zooniverse)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Carter Racing (Experimenterless Version),"<h2>Carter Racing (Experimenterless Version)</h2><br><h2>1. Set-Up</h2><p>Participants get several pages of description about a dilemma facing a racecar team, which involves deciding whether to go ahead with a race that would begin in the immediate future. The description mentions that the team has been experiencing a series of engine failures and that an engine failure during this race on national television will present a danger to the driver and team's sponsorship. However, if the team does well on the race, it will get a lucrative sponsorship deal.</p><p>In particular, this race day has unusual temperatures, and participants are told that the outside temperature could be related to engine failures in the past. Participants are given charts with information about the outside temperatures during previous races in the season, and whether or not there was an engine failure during those previous races. Some of these charts may focus just on the successful races, while others may focus only on the failed ones &mdash; as a result, the presentation of the data requires the participant to do work to piece the full picture together.</p><br><h2>2. Objective / Goal</h2><p>The goal is to come up with reasons and ultimately decide to terminate the participation in the race within a fixed amount of time. Everyone working together submits their decision in a shared interface.</p><p>The data in the description is gathered from the Report of the Presidential Commission on the Space Shuttle Challenger Accident in 1986. The relationship between ambient temperature and O-ring failure is disguised as the relationship between air temperature and car engine failures. In other words, participants that decide to go ahead with the race make a decision that is parallel to the decision to go ahead with the Space Shuttle Challenger launch.</p><p>Participants have to recognize that, once they are able to piece the full picture together from the information they are given, there is a clear relationship between temperature and engine failure. Based on the temperature of the day, they should predict that the car's engine will fail, causing them to lose the sponsorship.</p><p>Therefore, the only correct and precise solution to the task is not to proceed with the race, while participants that come up with a conclusion to proceed with the race fail the task. Participants also have to explain their reasoning behind this decision by finding a relationship between engine failures and air temperatures.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/353a2dcfffea85ce0d2bbe5a3f0e650341c95ffa,tasks/summaries/Carter Racing (Experimenterless Version)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Arithmetic problem 2,"<h2>Arithmetic problem 2</h2><br><h2>1. Set-Up</h2><p>All group members receive different clues and have to collaborate to reach a solution to an arithmetic problem. The problem involves figuring out what time a plane arrives at its final destination given the set of clues. No one of the participants can solve the problem alone as no one has all the information needed to solve it. The clue is randomly distributed among group members and involves essential information such as plane stopover time, the distance between the source and destination, and the speed of the plane.</p><br><h2>2. Objective / Goal</h2><p>The goal is to solve the problem in the shortest possible time. In order to do so, they should communicate with each other about their clues in order to reach solutions. They must give an answer within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/aeccf95d2d2db465618cf48da4fafc7abdb04d67,tasks/summaries/Arithmetic problem 2-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Pharmaceutical Company (hidden-profile),"<h2>Pharmaceutical Company (hidden-profile)</h2><br><h2>1. Set-Up</h2><p>Participants are randomly assigned to triads and participate in a role-playing simulation of managers in a pharmaceutical company trying to decide which of two drugs to market. They would be given information sheets about the drugs and be given a limited amount of time (e.g., 10 minutes) to familiarize themselves with the information. However, the information sheets are constructed such that some of the facts were shared (provided to all three members) and some were unshared (provided to only one group member). They would be also told that the company is in financial trouble and that their marketing decision is therefore especially important. After they finish reading the information sheets individually, they would be asked to recall as many of the facts about each drug as they could and be given limited time for the recall task. Following the recall task, the group would be asked to discuss the problem and come to a group consensus about which drug to market.</p><br><h2>2. Objective / Goal</h2><p>The goal for each group is to reach an agreement on the drug they would like to market. The task is designed so that the full information would show that one drug of the two is the best. They should find out the optimal drug within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6fb60c57eb4e5417f0a7eb157bf61490e287a81a,tasks/summaries/Pharmaceutical Company (hidden-profile)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
New Recruit,"<h2>New Recruit</h2><br><h2>1. Set-Up</h2><p>Participants are randomly paired for a negotiation over a mock job recruitment scenario. Each person is randomly assigned the role of either the recruit (person being hired) or the recruiter (person doing the hiring). The different roles have different objectives: for example, the recruit may want a higher bonus, while the recruiter would rather pay as low a bonus as possible. The possible settlement options for each participant are associated with point values, which are described in a private ""payoff schedule"" for each participant (explained in more detail below).</p><p>Here is an example to help you imagine what the negotiation might look like. Participants would receive a list of settlement options for each issue, and the payoff (in points) associated with each option. They would see only their own payoff schedule, and would not be aware of their counterparts'. Participants would then conduct negotiations over the employment package.</p><br><h2>2. Objective / Goal</h2><p>Participants are explicitly instructed that their goal is to maximize their (individual) payoff, and were given a limited amount of time (e.g., 30 minutes) to conduct their negotiation. In order for any agreement to be binding, participants need to reach an agreement on all the issues.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/069d75c8b88fd7aee36e269c599655a0a26f0624,tasks/summaries/New Recruit-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Iterated Snowdrift Game (Without Punishment),"<h2>Iterated Snowdrift Game (Without Punishment)</h2><br><h2>1. Set-Up</h2><p>Participants are randomly paired in a group acting as two drivers who are caught in a blizzard and trapped on either side of a snowdrift. They can either get out and start shoveling (""cooperate"") or remain in the car (""defect"").</p><p>If both cooperate, they have the benefit of getting home while sharing the labor. Thus, Rewards = (benefit - labor)/ 2. If both defect, they do not get anywhere and hence incur the punishment, meaning Rewards = 0. If only one shovels, however, they both get home; however, the defector is able to free-ride and avoids the labor cost while reaping all the benefits (Rewards = benefit). In contrast, the cooperator gets fewer Rewards, as they have to put in all the labor (Reward = benefit - labor). We assume benefit is greater than labor, as both parties want to get home.</p><br><h2>2. Objective / Goal</h2><p>Participants are instructed that their goal is to maximize their individual payoff (Rewards) and are given a limited amount of time (e.g., 10 minutes) to make a decision. Letting the opponent do all the work is the best option for your individual payoff, but if the other player stays in the car, it is better to shovel. The worst outcome is if both players choose to stay in the car. </p><p>For example, imagine that there are three groups in the game. In Group 1, both player A and player B decide to cooperate. In Group 2, player C remains in the car while player D gets out and starts shoveling. In Group 3, neither player E nor player F is willing to cooperate. The payoff values of different players rank in order: player C > player A/player B > player D > player E/player F.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b501c7cad950a851b23d1fce6d3ec461136ab32e,tasks/summaries/Iterated Snowdrift Game (Without Punishment)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Iterated Snowdrift Game (With Punishment),"<h2>Iterated Snowdrift Game (With Punishment)</h2><br><h2>1. Set-Up</h2><p>Participants are randomly paired in a group acting as two drivers who are caught in a blizzard and trapped on either side of a snowdrift. They can either get out and start shoveling (""cooperate"") or remain in the car (""defect"").</p><p>There are two stages in this game. During the first stage, participant choose to cooperate or defect. If both cooperate, they have the benefit of getting home while sharing the labor. Thus, Rewards = (benefit - labor)/ 2. If both defect, they do not get anywhere and hence incur the punishment, meaning Rewards = 0. If only one shovels, however, they both get home; however, the defector is able to free-ride and avoids the labor cost while reaping all the benefits (Rewards = benefit). In contrast, the cooperator gets fewer Rewards, as they have to put in all the labor (Rewards = benefit - labor). We assume benefit is greater than labor, as both parties want to get home.</p><p>During the second stage, the cooperator is given the chance to punish the defector for their free-riding behavior. Punishment works as follows: the cooperator has to incur a fixed fee (1 unit) in order to punish defectors. If they choose to incur the fee, then the payoffs for the defectors are reduced by a fine. Note, however, that while the fine can take different values, the fee for punishing does not change. The possibility that someone might punish you if you defect therefore makes the option of defection more risky.</p><br><h2>2. Objective / Goal</h2><p>Participants are instructed that their goal is to maximize their individual payoff (Rewards) and are given a limited amount of time (e.g., 10 minutes) to make a decision during the first stage. Letting the opponent do all the work is the best option for your individual payoff, but if the other player stays in the car, it is better to shovel. The worst outcome is if both players choose to stay in the car. </p><p>For example, imagine that there are three groups in the game. In Group 1, both player A and player B decide to cooperate. In Group 2, player C remains in the car while player D gets out and starts shoveling. In Group 3, neither player E nor player F is willing to cooperate. The payoff values of different players rank in order: player C > player A/player B > player D > player E/player F.</p><p>However, participants should take the fine and potential cost of punishment into account in this game. The cooperator has the chance to punish the defector, which means if the fine is heavy, it is not worth it to defect.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c0f53b90fd92c8c3c2a077d64f8ebb6e5095b482,tasks/summaries/Iterated Snowdrift Game (With Punishment)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Blocks World for Teams,"<h2>Blocks World for Teams</h2><br><h2>1. Set-Up</h2><p>Participants work together in a virtual world to complete a search-and-deliver task. There are nine rooms, designated A1 through C3, and each room contains various colored blocks. A 10th room, designated the ""drop zone,"" is located at the bottom of the map. </p><p>A special sequence of colored blocks is depicted below the ""drop zone."" We can call this special sequence the ""target sequence,"" and it represents the blocks that participants will bring from the main rooms into the drop zone.</p><p>In addition to the 10 rooms, there are hallways allowing participants to travel from room to room. Each participant controls an avatar and can move their avatar to pick up a block. The participant then navigates to the drop zone to successfully deliver the block. If the participant delivers a block into the drop zone that is not of the requested color, this incorrect block would be automatically and randomly placed into one of the other nine rooms.</p><p>As they move from room to room, participants are only able to see a limited amount of information. For example, they are only able to see the blocks in the room they are currently occupying, and they are not able to see their teammates. However, participants can see whether or not an adjacent room is occupied.</p><br><h2>2. Objective / Goal</h2><p>The goal is to deliver the correct sequence of colored blocks (the target sequence) from the virtual rooms to the drop zone. Participants should complete the task as quickly as possible, as well as finish within a limited amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d63376f048206f86d5aad9359788164afb9eda37,tasks/summaries/Blocks World for Teams-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
The beer game,"<h2>The beer game</h2><br><h2>1. Set-Up</h2><p>Participants are assigned to a group of four, in which each player has a different role: (1) retailer, (2) wholesaler, (3) distributor, and (4) factory. Customer demand (in kegs of beer) arises only at the retailer, which replenishes its inventory from the wholesaler; the wholesaler gets its beer from the distributor; and the distributor gets its beer from the factory, which produces the beer. The customer demand in different periods is a random variable, independently drawn from a distribution that is known to all players. The beer flows upstream to downstream (i.e. from the factory, to the distribution center, to the warehouse, and finally to the retail store). In contrast, the information about the customers' orders flows in the opposite direction (it goes from the retail store back up to the factory). Both the material and information flows are subject to delays. For example, there is an order processing delay, or information lead time, between when an order is placed and when the supplier receives the order.</p><p>Here is an example. Suppose the retail store orders 10 kegs from the warehouse on Monday. The warehouse receives this order on Wednesday. This information delay is due to the administrative steps in processing an order. On Wednesday, however, the warehouse only has 5 kegs of beer, so it ships 5 kegs to the retail store and backlogs the remaining 5. This shipment of 5 kegs arrives at the retail store on Friday. This delay is due to transportation.</p><p>In each period, the channel members must decide how much, if any, beer to order from their respective suppliers. The factory must decide how much, if any, beer to produce.</p><br><h2>2. Objective / Goal</h2><p>Participants are instructed that their goal is to minimize the total holding and backorder costs incurred in the entire supply chain and optimize the system-wide performance. In other words, the goal is to for each member to choose the right amount of beer to order or produce, despite the lag in information. If participants get the number wrong, they suffer a penalty. If they have too much beer, the wholesaler, distributor, and factory suffer a ""holding cost,"" because it is expensive to store the extra inventory. If they have too little beer, the retailer suffers a ""backorder cost,"" because it is expensive to lose customers when the store does not have the beer people want. In an ideal world, if the entire supply chain operates perfectly smoothly, the cost incurred would be zero.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/50e0c16dc1466066a1904dab1a94750ec12bf398,tasks/summaries/The beer game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Mock jury,"<h2>Mock jury</h2><br><h2>1. Set-Up</h2><p>Participants are to act as jurors in a mock jury. Once they have read the summary of the trial, they will be given a brief pre-deliberation questionnaire. They should take into account all facts of the trial and any specific instructions given by the judge before filling out the questionnaire and continuing with the process. In the questionnaire, participants are asked to record their personal verdict for the trial, and their assuredness of this verdict, which are indicated on a 9-point scale. The scale ranged from 1 (definitely not guilty) to 9 (definitely guilty), and 1 (not at all) to 9 (very confident).</p><p>After they finish the questionnaire, all the jury members will be instructed on the laws surrounding the case. All participants will then deliberate and attempt to reach a unanimous verdict. The jury is allowed to deliberate for a limited time (e.g. 1 hour) until they reach a verdict.</p><p>Then all jurors will once again be given questionnaires where they will render their individual verdict, and record their assuredness of the verdict.</p><br><h2>2. Objective / Goal</h2><p>Participants should reach a unanimous verdict with their fellow jury members within a limited amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/df0badb889715b1714c5d8f6ac9c2774b5198c06,tasks/summaries/Mock jury-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Investment Game (aka Trust Game),"<h2>Investment Game (aka Trust Game)</h2><br><h2>1. Set-Up</h2><p>Participants are assigned to one of two rooms: Room A or Room B. They then play a two-stage game. In the first stage, participants in Room A are given some money and have to decide how much to send to participants in Room B. In the second stage, the recipients in Room B get triple the amount of money that was sent to them. They then must decide how much money to keep for themselves, and how much to send back to those in Room A.</p><br><h2>2. Objective / Goal</h2><p>Participants should maximize their own pay-off (get as much money in the end as possible). Those in Room A must balance the possible benefit of earning more money (since all the money they give to Room B is tripled) with the risk that the people in Room B would keep all the extra money for themselves, leaving those in Room A with nothing. Conversely, those in Room B must decide whether they will keep all of the money for themselves, or give a portion of it back to Room A. Participants are given a limited amount of time (e.g., 10 minutes) to send money back and forth.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b464eae750b4fdb1919fc77d119bb068ce81f689,tasks/summaries/Investment Game (aka Trust Game)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
TOPSIM - general mgmt business game,"<h2>TOPSIM - general mgmt business game</h2><br><h2>1. Set-Up</h2><p>Participants are randomly assigned to a team and manage a fictitious company. They compete against other teams which manage other companies in the same simulated market. Over each period (the eight weeks), teams have to develop and adapt business strategies based on the basic endowments in the different functional areas of their company and based on the economic situation in their respective market. In each period, teams have to decide on a number of variables driving company performance: the sales price(s) of the product(s), marketing and sales activities, R&amp;D expenses, investment in environmental facilities or process optimizations, and financial resources. At the end of each period, each company’s periodic share price will be calculated based on how the company as well as its competitors decided on the above-described variables given the predetermined endowment and economic circumstances. The group then receives a full report documenting how the team performed as well as an updated economic forecast for the subsequent period in order to make new business decisions.</p><br><h2>2. Objective / Goal</h2><p>Participants are instructed that their goal is to maximize the firm’s share price at the end of the eight-week period. The final share price translates into a team grade with the best possible grade going to each market’s best-performing company. The remaining companies are graded relative to the best performers. In other words, the highly competitive setting incentivizes teams not to cooperate with competitors.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/0a5a1ba464cc82586437dcf4172ed5bf353ee9d8,tasks/summaries/TOPSIM - general mgmt business game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Oligopoly game,"<h2>Oligopoly game</h2><br><h2>1. Set-Up</h2><p>Participants experience a game with a pre-determined number of rounds. In each round of the game, participants must independently decide whether to ""compete"" or ""collude."" Players get a different amount of payoff in each round based on a combination of how they decided and how everyone else in the round decided. The players know the different possible payoffs ahead of time.</p><p>Here is an example. Suppose that the four possible pay-offs are as follows: [You choose - ""Compete"", Majority chooses - ""Compete"",  Your Payoff - 10], [You choose - ""Collude"", Majority chooses - ""Compete"", Your Payoff - 0], [You choose - ""Compete"", Majority chooses - ""Collude"", Your Payoff - 40], [You choose - ""Collude"", Majority chooses - ""Collude"", Your Payoff - 20]. In this example, you would get the most payoff if you choose to compete, but the majority chooses to collude. </p><p>Let's say that, in the first round, more than half of the players decide to ""compete."" Then those who choose to ""compete"" would receive 10 points. Those who choose to ""collude” would receive 0 points. Then we will play round 2 ,and everyone will vote all over again. Suppose in round 2 that a majority of players choose to &quot;collude"". Then those who choose to “compete” receive 40 points and those who ""collude"" receive 20 points.</p><br><h2>2. Objective / Goal</h2><p>Each participant's goal is to maximize their own payoff. Therefore, when making a decision, participants will have to weigh individual benefit against the unknown actions of other players. Notice that, even though the best possible individual outcome (Payoff = 40) is for you to choose ""Compete"" and for the majority to choose ""Collude,"" if everyone follows this same logic, then the majority will end up being ""Compete,"" and the payoff will only be 10.</p><p>Participants must make their decisions in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ccbdded8235e58dcb3f2946a171bb0d9ca5ae6bc,tasks/summaries/Oligopoly game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Minimal Group Paradigm (study diversity),"<h2>Minimal Group Paradigm (study diversity)</h2><br><h2>1. Set-Up</h2><p>Participants are randomly and anonymously divided into two groups (e.g., ""Group A"" and ""Group B""). After they are divided into groups, participants receive an anonymous list of players (e.g., ""participant number 34 of Group A,"" ""participant number 12 of Group B""). They are then asked to distribute a valuable resource (e.g., money or points) between the participants on the list. Participants are told that, after the task is finished, they will receive the total amount of the resource that has been allocated to them by the other participants.</p><br><h2>2. Objective / Goal</h2><p>The goal for participants is simply to allocate the resources however they like. There are no right or wrong answers for how participants should divide up the resources. Participants do NOT need to maximize the resources of people on their own team, nor maximize their personal resources.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3ed563b352b519b887c83522c58ddcbddc8b2291,tasks/summaries/Minimal Group Paradigm (study diversity)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Organization Game,"<h2>Organization Game</h2><br><h2>1. Set-Up</h2><p>Participants are randomly assigned to one of four equal size but physically separated divisions, each having its own complement of operating (line and staff) units. With the minimal structure and only unit heads and resource controllers assigned, participants must decide how to further develop and staff the organization in order to achieve an effective system for the division and coordination of work. These processes must include a way for the organization to learn and change as it adapts to internal and external forces.</p><br><h2>2. Objective / Goal</h2><p>The goal is to maximize the organizational effectiveness score based on several objective performance indicators. Notably, the goal is for participants to coordinate and perform well as an entire organization, even though each individual's control is limited to their own unit. Factors that will impact the overall score include the productivity of line units, investments in organizational development programs, and events such as members' absence, strikes, dismissals, resignations, vacations, and underutilization. The indicators for each session of play are calculated by the coordinator and delivered to the information processing unit at the beginning of the next session.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/7b858eed537027de902b50f7b533b7a7032bb3c6,tasks/summaries/Organization Game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Biopharm Seltek,"<h2>Biopharm Seltek</h2><br><h2>1. Set-Up</h2><p>Participants are randomly paired for a negotiation about the sale of a biotechnology plant. Each person is randomly assigned the role of either the buyer, the CFO of BioPharm, or the seller, the CFO of Seltek. BioPharm needs to either buy or build a plant to produce a genetically engineered antibiotic compound called Depox. Depox is a promising pharmaceutical product, and BioPharm needs a plant with special manufacturing equipment. There are two choices for BioPharm: (1) build a new plant; (2) buy a plant that is already set up to manufacture genetically engineered compounds. For this second option, Seltek seems like an ideal ""turnkey"" facility. BioPharm possesses public information about Seltek, including previous appraisal value, accounting statements, and so on. Meanwhile, Seltek is a medium-sized pharmaceutical company that (unbeknownst to BioPharm) has been struggling financially, and it is desperate to sell both the plant and the patent for its chemical compound. Seltek possesses detailed information about its own financial state, and also knows basic information about BioPharm from public documents.</p><br><h2>2. Objective / Goal</h2><p>The goal of each party is to reach an agreement that is as beneficial as possible for their own side. In other words, Biopharm should buy the plant for as low a price as possible, and Seltek should sell the plant for as high a price as possible. Since each side possesses different information, participants must strategically share (or choose to withhold) what they know in order to get a good deal. For example, if Seltek divulges the information that they are desperate to sell, they would likely obtain a much lower price than if they did not divulge such information.</p><p>There are two possible outcomes of the negotiation: either the two parties reach some consensus (to sell the plant at an agreed-upon price) or they are unable to reach an agreement, and BioPharm must build a new plant instead (a costly option).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d39293835007ef81174cc6d39b505afb9dbab506,tasks/summaries/Biopharm Seltek-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Bullard Houses,"<h2>Bullard Houses</h2><br><h2>1. Set-Up</h2><p>Participants are assigned to play in one of three formats: one-on-one, two-on-two, or three-on-three. In other words, all teams play with another team of equal size. One side serves as the seller(s) on behalf of a retail company representing the Bullard Family. The other acts as an agent representing a blind trust company operated by a hotel group. The seller is instructed to only sell the property to a known buyer who fully discloses their planned use of the property, while also seeking to get a fair deal for the family. The buyer is instructed to keep the buyer's identity hidden and not reveal the intended use of the site while also trying to reach a fair deal for the property. Both parties are to attempt to reach an agreement while acting in their roles. After negotiations cease, participants should report whether they have reached an agreement or an impasse. These should be coded, i.e. agreement(0) and impasse (1).</p><br><h2>2. Objective / Goal</h2><p>Participants should report whether the negotiation is settled or not. This requires careful analysis of the available information both before and during the negotiation. Beforehand, negotiators should work through a variety of simplified, but reasonably realistic financial structures (bonds, mortgages, loans, etc.) to make a judgment about the relative worth of the various offers and possible alternatives. During the negotiations, while much information is instructed to be kept hidden, the information that does get shared may have important and even unforeseen implications for the other side. In this game, the best outcome of a negotiation is to avoid reaching an agreement. In other words, an impasse (1) is the optimal answer.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/111575a2c1ec9d859f9b84be26fba5298bfe89ce,tasks/summaries/Bullard Houses-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Apache helicopter flight simulator (Longbow2),"<h2>Apache helicopter flight simulator (Longbow2)</h2><br><h2>1. Set-Up</h2><p>Participants are randomly assigned to groups of three to play the Apache helicopter flight simulator game called Longbow2. Each person is randomly assigned the role of either the pilot (person flying the aircraft), the gunner (person operating the weapons system), or the radar specialist (person monitoring and interpreting radar systems containing critical enemy information). Participants are given a limited amount of time to complete various tasks (e.g. destroying enemy tanks) and stay alive. Before performing the task, they would receive training in role-specific task skills.</p><br><h2>2. Objective / Goal</h2><p>The goal is to maximize the score of the team. The score is calculated from the sum of the number of targets acquired during the course of each mission and the team’s average ""alive time"". Team performance scores could range from 0 (no targets killed, helicopter killed by enemies immediately) to 30 (killed 15 targets, stayed alive for the duration of the 15-minute mission).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/69b75cc64f9ef759eebee5b786569378cb6a6517,tasks/summaries/Apache helicopter flight simulator (Longbow2)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Sender-Receiver game,"<h2>Sender-Receiver game</h2><br><h2>1. Set-Up</h2><p>Participants are paired for a communication-based game where one player sends a message to another, and the second player then chooses an action that determines their payoff. Player 1 is told to send a message to Player 2 about two options for winning different payoffs. The two possible messages are: ""Option A will earn you more money than Option B"" and ""Option B will earn you more money than Option A"". Player 1 can choose to tell the truth or to lie to Player 2, and Player 2 can choose to heed or to ignore the advice of Player 1. The choice of the receiver will determine the payments of both players in the experiment.</p><p>Here is a concrete example. Suppose that the true options are: (Option A) Player 1 gets $5 and Player 2 gets $6; (Option B) Player 1 gets $6 and Player 2 gets $5. </p><p>Player 1 will see the true options, and they can either choose to tell Player 2 the truth (saying, ""Option A will earn you more money than Option B"") or lie (saying, ""Option B will earn you more money than Option A""). If they tell the truth, and Player 2 listens to them, then Player 1 will end up with less money in the end ($5 rather than $6). On the other hand, if they lie, they can potentially influence Player 2 to (unknowingly) choose the option that is better for Player 1. Meanwhile, because Player 2 knows that Player 1 may be lying, they can choose to either follow the advice or to ignore it. In the end, both players receive the payoffs from Player 2's choice, but Player 2 is not informed of how much Player 1 received (so they do not ever find out whether they were ""correct"" or not.)</p><br><h2>2. Objective / Goal</h2><p>Each participant's goal is to maximize their own payoff. Therefore, Player 1 must decide which message will lead to Player 2's choosing an advantageous outcome; Player 2 must decide whether or not to trust Player 1, so that they can obtain their own advantageous outcome. Participants are given a limited amount of time (e.g., 10 minutes) to send a message and make a decision.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1b78987a99f2478c81a7cbfbc806d2707eba2931,tasks/summaries/Sender-Receiver game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Volunteer Investment Game,"<h2>Volunteer Investment Game</h2><br><h2>1. Set-Up</h2><p>Participants are randomly and anonymously assigned to groups of three in each of the ten rounds. Members of the group are given a limited amount of time (e.g. two minutes) to make an investment decision. Individual earnings are $1 in the event that no one invests before the end of the game. Once one group member makes the investment, the round ends. The individual making the investment secures payment of $1.25, while the other two group members each receive $2. The investor is randomly determined in the event that multiple parties simultaneously invest. Participants are not allowed to communicate with other group members in any way.</p><br><h2>2. Objective / Goal</h2><p>Participants are instructed that their goal is to maximize their individual payoff as well as the group's total payoff. It means that one goal is to maximize their personal earnings, which means that they should not invest anything; rather, they should wait for others to invest. But another goal is to optimize the group's outcomes, which means that at least one person in the group should invest. Participants should try to maximize both individual and group outcomes, which causes a tradeoff. They are given a limited amount of time (e.g., 2 minutes) to play the game.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c30b8274bdb22365cbd8a03a4cd334424e3df4ee,tasks/summaries/Volunteer Investment Game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
